p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
giraffe  | 4      | 88         | 57.0000     
giraffe  | 5      | 112        | 55.0000     
giraffe  | 6      | 97         | 54.0000     
giraffe  | 7      | 34         | 54.0000     
giraffe  | 8      | 44         | 54.0000     
giraffe  | 9      | 115        | 53.0000     
giraffe  | 10     | 132        | 53.0000     

person + car | 1      | 198        | 90585.0000  
person + car | 2      | 199        | 90101.0000  
person + car | 3      | 194        | 90101.0000  
person + car | 4      | 197        | 90050.0000  
person + car | 5      | 193        | 90050.0000  
person + car | 6      | 187        | 89998.0000  
person + car | 7      | 196        | 89930.0000  
person + car | 8      | 195        | 89853.0000  
person + car | 9      | 189        | 89781.0000  
person + car | 10     | 183        | 89769.0000  

total    | 1      | 198        | 91005.0000  
total    | 2      | 199        | 90635.0000  
total    | 3      | 194        | 90573.0000  
total    | 4      | 197        | 90533.0000  
total    | 5      | 193        | 90498.0000  
total    | 6      | 187        | 90453.0000  
total    | 7      | 196        | 90393.0000  
total    | 8      | 195        | 90355.0000  
total    | 9      | 189        | 90244.0000  
total    | 10     | 183        | 90234.0000  

==================================================

p: ../results/model_2/teastatic_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 7          | 572.0000    
person   | 3      | 3          | 555.0000    
person   | 4      | 5          | 549.0000    
person   | 5      | 4          | 539.0000    
person   | 6      | 1          | 536.0000    
person   | 7      | 8          | 522.0000    
person   | 8      | 10         | 518.0000    
person   | 9      | 11         | 495.0000    
person   | 10     | 6          | 493.0000    

car      | 1      | 198        | 93056.0000  
car      | 2      | 195        | 93043.0000  
car      | 3      | 197        | 92925.0000  
car      | 4      | 193        | 92807.0000  
car      | 5      | 190        | 92711.0000  
car      | 6      | 199        | 92656.0000  
car      | 7      | 189        | 92594.0000  
car      | 8      | 191        | 92532.0000  
car      | 9      | 194        | 92519.0000  
car      | 10     | 192        | 92450.0000  

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 1          | 4.0000      
microwave oven | 3      | 18         | 4.0000      
microwave oven | 4      | 26         | 4.0000      
microwave oven | 5      | 25         | 3.0000      
microwave oven | 6      | 11         | 3.0000      
microwave oven | 7      | 28         | 3.0000      
microwave oven | 8      | 23         | 2.0000      
microwave oven | 9      | 20         | 2.0000      
microwave oven | 10     | 12         | 2.0000      

giraffe  | 1      | 0          | 11.0000     
giraffe  | 2      | 83         | 6.0000      
giraffe  | 3      | 53         | 5.0000      
giraffe  | 4      | 127        | 5.0000      
giraffe  | 5      | 119        | 5.0000      
giraffe  | 6      | 85         | 5.0000      
giraffe  | 7      | 196        | 5.0000      
giraffe  | 8      | 41         | 4.0000      
giraffe  | 9      | 71         | 4.0000      
giraffe  | 10     | 103        | 4.0000      

person + car | 1      | 195        | 93321.0000  
person + car | 2      | 198        | 93307.0000  
person + car | 3      | 197        | 93185.0000  
person + car | 4      | 193        | 93068.0000  
person + car | 5      | 190        | 92992.0000  
person + car | 6      | 199        | 92912.0000  
person + car | 7      | 189        | 92849.0000  
person + car | 8      | 191        | 92799.0000  
person + car | 9      | 194        | 92758.0000  
person + car | 10     | 192        | 92719.0000  

total    | 1      | 198        | 94045.0000  
total    | 2      | 195        | 94013.0000  
total    | 3      | 197        | 93869.0000  
total    | 4      | 193        | 93755.0000  
total    | 5      | 190        | 93656.0000  
total    | 6      | 199        | 93547.0000  
total    | 7      | 189        | 93510.0000  
total    | 8      | 191        | 93469.0000  
total    | 9      | 194        | 93428.0000  
total    | 10     | 185        | 93390.0000  

==================================================

p: ../results/model_2/teaspoon_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 170        | 46071.0000  
person   | 2      | 191        | 46047.0000  
person   | 3      | 133        | 45987.0000  
person   | 4      | 135        | 45891.0000  
person   | 5      | 156        | 45560.0000  
person   | 6      | 143        | 45540.0000  
person   | 7      | 187        | 45451.0000  
person   | 8      | 122        | 45300.0000  
person   | 9      | 111        | 45298.0000  
person   | 10     | 124        | 45077.0000  

car      | 1      | 192        | 58284.0000  
car      | 2      | 188        | 57237.0000  
car      | 3      | 190        | 57189.0000  
car      | 4      | 186        | 57163.0000  
car      | 5      | 184        | 56866.0000  
car      | 6      | 169        | 56586.0000  
car      | 7      | 194        | 56534.0000  
car      | 8      | 196        | 56465.0000  
car      | 9      | 164        | 56417.0000  
car      | 10     | 162        | 56375.0000  

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 5          | 2.0000      
microwave oven | 3      | 1          | 1.0000      
microwave oven | 4      | 4          | 1.0000      
microwave oven | 5      | 2          | 1.0000      
microwave oven | 6      | 3          | 1.0000      
microwave oven | 7      | 133        | 0.0000      
microwave oven | 8      | 134        | 0.0000      
microwave oven | 9      | 135        | 0.0000      
microwave oven | 10     | 127        | 0.0000      

giraffe  | 1      | 40         | 17.0000     
giraffe  | 2      | 65         | 15.0000     
giraffe  | 3      | 86         | 15.0000     
giraffe  | 4      | 83         | 15.0000     
giraffe  | 5      | 36         | 15.0000     
giraffe  | 6      | 45         | 14.0000     
giraffe  | 7      | 68         | 14.0000     
giraffe  | 8      | 72         | 13.0000     
giraffe  | 9      | 73         | 13.0000     
giraffe  | 10     | 54         | 13.0000     

person + car | 1      | 185        | 99524.0000  
person + car | 2      | 190        | 99499.0000  
person + car | 3      | 182        | 99487.0000  
person + car | 4      | 199        | 99454.0000  
person + car | 5      | 186        | 99445.0000  
person + car | 6      | 188        | 99425.0000  
person + car | 7      | 198        | 99417.0000  
person + car | 8      | 184        | 99414.0000  
person + car | 9      | 193        | 99352.0000  
person + car | 10     | 177        | 99345.0000  

total    | 1      | 190        | 99930.0000  
total    | 2      | 185        | 99910.0000  
total    | 3      | 186        | 99910.0000  
total    | 4      | 182        | 99902.0000  
total    | 5      | 198        | 99885.0000  
total    | 6      | 199        | 99866.0000  
total    | 7      | 188        | 99845.0000  
total    | 8      | 184        | 99845.0000  
total    | 9      | 189        | 99826.0000  
total    | 10     | 174        | 99815.0000  

==================================================

p: ../results/model_2/teaspoon_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 7          | 577.0000    
person   | 3      | 8          | 569.0000    
person   | 4      | 3          | 553.0000    
person   | 5      | 4          | 539.0000    
person   | 6      | 1          | 536.0000    
person   | 7      | 10         | 525.0000    
person   | 8      | 6          | 503.0000    
person   | 9      | 9          | 499.0000    
person   | 10     | 5          | 498.0000    

car      | 1      | 199        | 93039.0000  
car      | 2      | 195        | 92733.0000  
car      | 3      | 197        | 92615.0000  
car      | 4      | 193        | 92574.0000  
car      | 5      | 192        | 92558.0000  
car      | 6      | 198        | 92540.0000  
car      | 7      | 196        | 92501.0000  
car      | 8      | 189        | 92453.0000  
car      | 9      | 191        | 92410.0000  
car      | 10     | 190        | 92355.0000  

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 15         | 5.0000      
microwave oven | 3      | 1          | 4.0000      
