p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
person   | 1      | 0          | 492.0000    
person   | 2      | 11         | 314.0000    
person   | 3      | 15         | 300.0000    
person   | 4      | 9          | 286.0000    
person   | 5      | 17         | 271.0000    
person   | 6      | 20         | 264.0000    
person   | 7      | 5          | 264.0000    
person   | 8      | 23         | 259.0000    
person   | 9      | 29         | 259.0000    
person   | 10     | 13         | 258.0000    

car      | 1      | 189        | 135.0000    
car      | 2      | 161        | 124.0000    
car      | 3      | 148        | 122.0000    
car      | 4      | 182        | 120.0000    
car      | 5      | 179        | 119.0000    
car      | 6      | 191        | 119.0000    
car      | 7      | 173        | 117.0000    
car      | 8      | 139        | 117.0000    
car      | 9      | 193        | 117.0000    
car      | 10     | 186        | 117.0000    

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 7          | 4.0000      
microwave oven | 3      | 1          | 3.0000      
microwave oven | 4      | 6          | 3.0000      
microwave oven | 5      | 14         | 2.0000      
microwave oven | 6      | 129        | 1.0000      
microwave oven | 7      | 114        | 1.0000      
microwave oven | 8      | 8          | 1.0000      
microwave oven | 9      | 4          | 1.0000      
microwave oven | 10     | 3          | 1.0000      

giraffe  | 1      | 198        | 84019.0000  
giraffe  | 2      | 199        | 83397.0000  
giraffe  | 3      | 191        | 83395.0000  
giraffe  | 4      | 194        | 83068.0000  
giraffe  | 5      | 193        | 82926.0000  
giraffe  | 6      | 197        | 82639.0000  
giraffe  | 7      | 192        | 82548.0000  
giraffe  | 8      | 183        | 82511.0000  
giraffe  | 9      | 188        | 82467.0000  
giraffe  | 10     | 190        | 82423.0000  

person + car | 1      | 0          | 537.0000    
person + car | 2      | 11         | 334.0000    
person + car | 3      | 15         | 320.0000    
person + car | 4      | 9          | 300.0000    
person + car | 5      | 29         | 295.0000    
person + car | 6      | 17         | 292.0000    
person + car | 7      | 35         | 290.0000    
person + car | 8      | 23         | 289.0000    
person + car | 9      | 25         | 287.0000    
person + car | 10     | 20         | 287.0000    

total    | 1      | 198        | 84501.0000  
total    | 2      | 191        | 83892.0000  
total    | 3      | 199        | 83843.0000  
total    | 4      | 194        | 83531.0000  
total    | 5      | 193        | 83408.0000  
total    | 6      | 197        | 83101.0000  
total    | 7      | 183        | 82980.0000  
total    | 8      | 192        | 82973.0000  
total    | 9      | 188        | 82882.0000  
total    | 10     | 190        | 82840.0000  

==================================================

p: ../results/model_0/teastatic_tgt_0
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 199        | 89950.0000  
person   | 2      | 198        | 89754.0000  
person   | 3      | 189        | 89296.0000  
person   | 4      | 197        | 89081.0000  
person   | 5      | 196        | 89020.0000  
person   | 6      | 191        | 88763.0000  
person   | 7      | 190        | 88737.0000  
person   | 8      | 195        | 88623.0000  
person   | 9      | 194        | 88524.0000  
person   | 10     | 193        | 88196.0000  

car      | 1      | 76         | 112.0000    
car      | 2      | 96         | 110.0000    
car      | 3      | 82         | 109.0000    
car      | 4      | 80         | 107.0000    
car      | 5      | 51         | 106.0000    
car      | 6      | 121        | 105.0000    
car      | 7      | 69         | 103.0000    
car      | 8      | 63         | 103.0000    
car      | 9      | 67         | 102.0000    
car      | 10     | 75         | 101.0000    

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 4          | 4.0000      
microwave oven | 3      | 1          | 3.0000      
microwave oven | 4      | 2          | 3.0000      
microwave oven | 5      | 3          | 3.0000      
microwave oven | 6      | 6          | 2.0000      
microwave oven | 7      | 5          | 1.0000      
microwave oven | 8      | 135        | 0.0000      
microwave oven | 9      | 134        | 0.0000      
microwave oven | 10     | 138        | 0.0000      

giraffe  | 1      | 9          | 21.0000     
giraffe  | 2      | 11         | 18.0000     
giraffe  | 3      | 16         | 16.0000     
giraffe  | 4      | 5          | 16.0000     
giraffe  | 5      | 18         | 14.0000     
giraffe  | 6      | 30         | 14.0000     
giraffe  | 7      | 40         | 14.0000     
giraffe  | 8      | 42         | 13.0000     
giraffe  | 9      | 17         | 13.0000     
giraffe  | 10     | 87         | 12.0000     

person + car | 1      | 199        | 90016.0000  
person + car | 2      | 198        | 89828.0000  
person + car | 3      | 189        | 89360.0000  
person + car | 4      | 197        | 89157.0000  
person + car | 5      | 196        | 89078.0000  
person + car | 6      | 191        | 88824.0000  
person + car | 7      | 190        | 88806.0000  
person + car | 8      | 195        | 88700.0000  
person + car | 9      | 194        | 88602.0000  
person + car | 10     | 193        | 88274.0000  

total    | 1      | 199        | 90508.0000  
total    | 2      | 198        | 90335.0000  
total    | 3      | 189        | 89882.0000  
total    | 4      | 197        | 89677.0000  
total    | 5      | 196        | 89592.0000  
total    | 6      | 191        | 89355.0000  
total    | 7      | 190        | 89298.0000  
total    | 8      | 195        | 89180.0000  
total    | 9      | 194        | 89104.0000  
total    | 10     | 187        | 88795.0000  

==================================================

p: ../results/model_0/teastatic_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 492.0000    
person   | 2      | 5          | 417.0000    
person   | 3      | 3          | 415.0000    
person   | 4      | 6          | 401.0000    
person   | 5      | 7          | 396.0000    
person   | 6      | 8          | 383.0000    
person   | 7      | 4          | 380.0000    
person   | 8      | 2          | 376.0000    
person   | 9      | 13         | 367.0000    
person   | 10     | 12         | 353.0000    

car      | 1      | 198        | 94789.0000  
car      | 2      | 192        | 94735.0000  
car      | 3      | 194        | 94691.0000  
car      | 4      | 193        | 94668.0000  
car      | 5      | 196        | 94621.0000  
car      | 6      | 185        | 94523.0000  
car      | 7      | 197        | 94512.0000  
car      | 8      | 189        | 94502.0000  
car      | 9      | 195        | 94453.0000  
car      | 10     | 199        | 94428.0000  

microwave oven | 1      | 29         | 9.0000      
microwave oven | 2      | 31         | 8.0000      
microwave oven | 3      | 77         | 7.0000      
microwave oven | 4      | 32         | 7.0000      
microwave oven | 5      | 15         | 6.0000      
microwave oven | 6      | 46         | 6.0000      
microwave oven | 7      | 170        | 6.0000      
microwave oven | 8      | 21         | 5.0000      
microwave oven | 9      | 17         | 5.0000      
microwave oven | 10     | 22         | 5.0000      

giraffe  | 1      | 25         | 11.0000     
giraffe  | 2      | 34         | 8.0000      
giraffe  | 3      | 36         | 7.0000      
giraffe  | 4      | 40         | 6.0000      
giraffe  | 5      | 21         | 6.0000      
giraffe  | 6      | 46         | 5.0000      
giraffe  | 7      | 15         | 5.0000      
giraffe  | 8      | 19         | 5.0000      
giraffe  | 9      | 38         | 4.0000      
giraffe  | 10     | 77         | 4.0000      

person + car | 1      | 198        | 94966.0000  
person + car | 2      | 192        | 94908.0000  
person + car | 3      | 194        | 94879.0000  
person + car | 4      | 193        | 94869.0000  
person + car | 5      | 196        | 94816.0000  
person + car | 6      | 189        | 94726.0000  
person + car | 7      | 185        | 94714.0000  
person + car | 8      | 197        | 94712.0000  
person + car | 9      | 195        | 94643.0000  
person + car | 10     | 187        | 94640.0000  

total    | 1      | 192        | 96041.0000  
total    | 2      | 194        | 95932.0000  
total    | 3      | 193        | 95925.0000  
total    | 4      | 196        | 95857.0000  
total    | 5      | 198        | 95855.0000  
total    | 6      | 197        | 95790.0000  
total    | 7      | 185        | 95777.0000  
total    | 8      | 187        | 95772.0000  
total    | 9      | 195        | 95737.0000  
total    | 10     | 199        | 95731.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 189        | 19788.0000  
person   | 2      | 173        | 19668.0000  
person   | 3      | 187        | 19627.0000  
person   | 4      | 149        | 19458.0000  
person   | 5      | 198        | 19436.0000  
person   | 6      | 182        | 19429.0000  
person   | 7      | 185        | 19410.0000  
person   | 8      | 196        | 19189.0000  
person   | 9      | 180        | 19149.0000  
person   | 10     | 175        | 19030.0000  

car      | 1      | 194        | 79791.0000  
car      | 2      | 197        | 79284.0000  
car      | 3      | 199        | 79274.0000  
car      | 4      | 192        | 79059.0000  
car      | 5      | 186        | 78580.0000  
car      | 6      | 184        | 78397.0000  
car      | 7      | 181        | 78394.0000  
car      | 8      | 191        | 78239.0000  
car      | 9      | 195        | 77988.0000  
car      | 10     | 189        | 77981.0000  

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 1          | 2.0000      
microwave oven | 3      | 2          | 2.0000      
microwave oven | 4      | 31         | 1.0000      
microwave oven | 5      | 166        | 1.0000      
microwave oven | 6      | 54         | 1.0000      
microwave oven | 7      | 26         | 1.0000      
microwave oven | 8      | 46         | 1.0000      
microwave oven | 9      | 24         | 1.0000      
microwave oven | 10     | 48         | 1.0000      

giraffe  | 1      | 44         | 31.0000     
giraffe  | 2      | 23         | 29.0000     
giraffe  | 3      | 40         | 27.0000     
giraffe  | 4      | 13         | 27.0000     
giraffe  | 5      | 27         | 27.0000     
giraffe  | 6      | 38         | 27.0000     
giraffe  | 7      | 15         | 26.0000     
giraffe  | 8      | 36         | 25.0000     
giraffe  | 9      | 47         | 25.0000     
giraffe  | 10     | 31         | 25.0000     

person + car | 1      | 189        | 97769.0000  
person + car | 2      | 196        | 97011.0000  
person + car | 3      | 197        | 97003.0000  
person + car | 4      | 199        | 96952.0000  
person + car | 5      | 198        | 96749.0000  
person + car | 6      | 186        | 96696.0000  
person + car | 7      | 194        | 96646.0000  
person + car | 8      | 193        | 96609.0000  
person + car | 9      | 195        | 96485.0000  
person + car | 10     | 191        | 96426.0000  

total    | 1      | 189        | 98258.0000  
total    | 2      | 196        | 97551.0000  
total    | 3      | 197        | 97480.0000  
total    | 4      | 199        | 97449.0000  
total    | 5      | 198        | 97261.0000  
total    | 6      | 186        | 97193.0000  
total    | 7      | 193        | 97123.0000  
total    | 8      | 194        | 97113.0000  
total    | 9      | 195        | 97012.0000  
total    | 10     | 191        | 96914.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 492.0000    
person   | 2      | 3          | 403.0000    
person   | 3      | 5          | 403.0000    
person   | 4      | 7          | 401.0000    
person   | 5      | 8          | 398.0000    
person   | 6      | 6          | 388.0000    
person   | 7      | 9          | 386.0000    
person   | 8      | 4          | 382.0000    
person   | 9      | 2          | 375.0000    
person   | 10     | 12         | 370.0000    

car      | 1      | 198        | 94553.0000  
car      | 2      | 197        | 94483.0000  
car      | 3      | 193        | 94409.0000  
car      | 4      | 194        | 94287.0000  
car      | 5      | 199        | 94238.0000  
car      | 6      | 189        | 94236.0000  
car      | 7      | 190        | 94203.0000  
car      | 8      | 191        | 94189.0000  
car      | 9      | 187        | 94182.0000  
car      | 10     | 188        | 94144.0000  

microwave oven | 1      | 28         | 7.0000      
microwave oven | 2      | 10         | 7.0000      
microwave oven | 3      | 20         | 6.0000      
microwave oven | 4      | 48         | 6.0000      
microwave oven | 5      | 46         | 6.0000      
microwave oven | 6      | 13         | 6.0000      
microwave oven | 7      | 11         | 5.0000      
microwave oven | 8      | 26         | 5.0000      
microwave oven | 9      | 30         | 5.0000      
microwave oven | 10     | 0          | 5.0000      

giraffe  | 1      | 25         | 26.0000     
giraffe  | 2      | 23         | 17.0000     
giraffe  | 3      | 46         | 14.0000     
giraffe  | 4      | 27         | 14.0000     
giraffe  | 5      | 39         | 12.0000     
giraffe  | 6      | 41         | 12.0000     
giraffe  | 7      | 47         | 12.0000     
giraffe  | 8      | 48         | 11.0000     
giraffe  | 9      | 71         | 11.0000     
giraffe  | 10     | 44         | 11.0000     

person + car | 1      | 198        | 94733.0000  
person + car | 2      | 197        | 94710.0000  
person + car | 3      | 193        | 94625.0000  
person + car | 4      | 194        | 94501.0000  
person + car | 5      | 199        | 94438.0000  
person + car | 6      | 189        | 94437.0000  
person + car | 7      | 191        | 94409.0000  
person + car | 8      | 190        | 94402.0000  
person + car | 9      | 187        | 94384.0000  
person + car | 10     | 188        | 94334.0000  

total    | 1      | 198        | 96072.0000  
total    | 2      | 197        | 95882.0000  
total    | 3      | 193        | 95739.0000  
total    | 4      | 194        | 95665.0000  
total    | 5      | 189        | 95571.0000  
total    | 6      | 187        | 95560.0000  
total    | 7      | 188        | 95462.0000  
total    | 8      | 199        | 95458.0000  
total    | 9      | 186        | 95431.0000  
total    | 10     | 191        | 95422.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 492.0000    
person   | 2      | 9          | 353.0000    
person   | 3      | 8          | 292.0000    
person   | 4      | 34         | 259.0000    
person   | 5      | 21         | 259.0000    
person   | 6      | 11         | 259.0000    
person   | 7      | 26         | 257.0000    
person   | 8      | 23         | 250.0000    
person   | 9      | 1          | 250.0000    
person   | 10     | 7          | 249.0000    

car      | 1      | 199        | 127.0000    
car      | 2      | 191        | 125.0000    
car      | 3      | 177        | 124.0000    
car      | 4      | 183        | 124.0000    
car      | 5      | 190        | 122.0000    
car      | 6      | 193        | 122.0000    
car      | 7      | 187        | 121.0000    
car      | 8      | 192        | 120.0000    
car      | 9      | 194        | 120.0000    
car      | 10     | 146        | 119.0000    

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 1          | 3.0000      
microwave oven | 3      | 3          | 1.0000      
microwave oven | 4      | 7          | 1.0000      
microwave oven | 5      | 5          | 1.0000      
microwave oven | 6      | 2          | 1.0000      
microwave oven | 7      | 4          | 1.0000      
microwave oven | 8      | 137        | 0.0000      
microwave oven | 9      | 135        | 0.0000      
microwave oven | 10     | 134        | 0.0000      

giraffe  | 1      | 199        | 85004.0000  
giraffe  | 2      | 197        | 84164.0000  
giraffe  | 3      | 196        | 83790.0000  
giraffe  | 4      | 198        | 83726.0000  
giraffe  | 5      | 192        | 83642.0000  
giraffe  | 6      | 194        | 83584.0000  
giraffe  | 7      | 193        | 83529.0000  
giraffe  | 8      | 195        | 83414.0000  
giraffe  | 9      | 189        | 83087.0000  
giraffe  | 10     | 191        | 83076.0000  

person + car | 1      | 0          | 537.0000    
person + car | 2      | 9          | 366.0000    
person + car | 3      | 8          | 307.0000    
person + car | 4      | 34         | 289.0000    
person + car | 5      | 36         | 286.0000    
person + car | 6      | 26         | 281.0000    
person + car | 7      | 123        | 280.0000    
person + car | 8      | 21         | 278.0000    
person + car | 9      | 23         | 275.0000    
person + car | 10     | 1          | 275.0000    

total    | 1      | 199        | 85472.0000  
total    | 2      | 197        | 84640.0000  
total    | 3      | 196        | 84238.0000  
total    | 4      | 198        | 84150.0000  
total    | 5      | 192        | 84083.0000  
total    | 6      | 194        | 84069.0000  
total    | 7      | 193        | 83995.0000  
total    | 8      | 195        | 83872.0000  
total    | 9      | 189        | 83531.0000  
total    | 10     | 191        | 83524.0000  

==================================================

p: ../results/model_0/teastatic_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 167        | 509.0000    
person   | 2      | 0          | 492.0000    
person   | 3      | 169        | 485.0000    
person   | 4      | 143        | 485.0000    
person   | 5      | 134        | 484.0000    
person   | 6      | 129        | 483.0000    
person   | 7      | 147        | 480.0000    
person   | 8      | 111        | 480.0000    
person   | 9      | 119        | 479.0000    
person   | 10     | 193        | 478.0000    

car      | 1      | 89         | 215.0000    
car      | 2      | 129        | 194.0000    
car      | 3      | 107        | 193.0000    
car      | 4      | 135        | 187.0000    
car      | 5      | 93         | 187.0000    
car      | 6      | 105        | 181.0000    
car      | 7      | 122        | 176.0000    
car      | 8      | 163        | 176.0000    
car      | 9      | 97         | 173.0000    
car      | 10     | 116        | 172.0000    

microwave oven | 1      | 198        | 73733.0000  
microwave oven | 2      | 197        | 72485.0000  
microwave oven | 3      | 196        | 72469.0000  
microwave oven | 4      | 199        | 72253.0000  
microwave oven | 5      | 194        | 71877.0000  
microwave oven | 6      | 190        | 71779.0000  
microwave oven | 7      | 192        | 71582.0000  
microwave oven | 8      | 193        | 71495.0000  
microwave oven | 9      | 195        | 71319.0000  
microwave oven | 10     | 189        | 70951.0000  

giraffe  | 1      | 53         | 5.0000      
giraffe  | 2      | 46         | 5.0000      
giraffe  | 3      | 72         | 5.0000      
giraffe  | 4      | 127        | 5.0000      
giraffe  | 5      | 70         | 4.0000      
giraffe  | 6      | 176        | 4.0000      
giraffe  | 7      | 175        | 4.0000      
giraffe  | 8      | 105        | 4.0000      
giraffe  | 9      | 109        | 4.0000      
giraffe  | 10     | 111        | 4.0000      

person + car | 1      | 129        | 677.0000    
person + car | 2      | 93         | 653.0000    
person + car | 3      | 111        | 649.0000    
person + car | 4      | 167        | 648.0000    
person + car | 5      | 119        | 639.0000    
person + car | 6      | 89         | 635.0000    
person + car | 7      | 147        | 634.0000    
person + car | 8      | 134        | 633.0000    
person + car | 9      | 143        | 632.0000    
person + car | 10     | 113        | 632.0000    

total    | 1      | 198        | 75101.0000  
total    | 2      | 196        | 73839.0000  
total    | 3      | 197        | 73791.0000  
total    | 4      | 199        | 73644.0000  
total    | 5      | 194        | 73230.0000  
total    | 6      | 190        | 73165.0000  
total    | 7      | 192        | 72998.0000  
total    | 8      | 193        | 72849.0000  
total    | 9      | 195        | 72682.0000  
total    | 10     | 186        | 72346.0000  

==================================================

p: ../results/model_0/teastatic_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 179        | 21509.0000  
person   | 2      | 175        | 20679.0000  
person   | 3      | 183        | 20398.0000  
person   | 4      | 177        | 20343.0000  
person   | 5      | 162        | 20090.0000  
person   | 6      | 181        | 20082.0000  
person   | 7      | 194        | 19975.0000  
person   | 8      | 192        | 19952.0000  
person   | 9      | 185        | 19843.0000  
person   | 10     | 173        | 19731.0000  

car      | 1      | 195        | 79037.0000  
car      | 2      | 182        | 78792.0000  
car      | 3      | 198        | 78785.0000  
car      | 4      | 193        | 78566.0000  
car      | 5      | 184        | 78496.0000  
car      | 6      | 174        | 78427.0000  
car      | 7      | 180        | 78411.0000  
car      | 8      | 199        | 78165.0000  
car      | 9      | 189        | 78160.0000  
car      | 10     | 196        | 78137.0000  

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 1          | 2.0000      
microwave oven | 3      | 2          | 2.0000      
microwave oven | 4      | 57         | 1.0000      
microwave oven | 5      | 43         | 1.0000      
microwave oven | 6      | 13         | 1.0000      
microwave oven | 7      | 4          | 1.0000      
microwave oven | 8      | 3          | 1.0000      
microwave oven | 9      | 5          | 1.0000      
microwave oven | 10     | 137        | 0.0000      

giraffe  | 1      | 42         | 35.0000     
giraffe  | 2      | 77         | 34.0000     
giraffe  | 3      | 57         | 33.0000     
giraffe  | 4      | 73         | 32.0000     
giraffe  | 5      | 84         | 32.0000     
giraffe  | 6      | 94         | 32.0000     
giraffe  | 7      | 74         | 32.0000     
giraffe  | 8      | 51         | 31.0000     
giraffe  | 9      | 62         | 31.0000     
giraffe  | 10     | 81         | 31.0000     

person + car | 1      | 199        | 97789.0000  
person + car | 2      | 195        | 97422.0000  
person + car | 3      | 191        | 97241.0000  
person + car | 4      | 198        | 97093.0000  
person + car | 5      | 196        | 96987.0000  
person + car | 6      | 192        | 96874.0000  
person + car | 7      | 175        | 96819.0000  
person + car | 8      | 183        | 96809.0000  
person + car | 9      | 189        | 96488.0000  
person + car | 10     | 193        | 96480.0000  

total    | 1      | 199        | 98323.0000  
total    | 2      | 195        | 97928.0000  
total    | 3      | 191        | 97743.0000  
total    | 4      | 198        | 97628.0000  
total    | 5      | 196        | 97479.0000  
total    | 6      | 192        | 97393.0000  
total    | 7      | 175        | 97360.0000  
total    | 8      | 183        | 97322.0000  
total    | 9      | 189        | 97040.0000  
total    | 10     | 184        | 97017.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_0
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 199        | 89773.0000  
person   | 2      | 193        | 89057.0000  
person   | 3      | 198        | 88876.0000  
person   | 4      | 197        | 88874.0000  
person   | 5      | 196        | 88815.0000  
person   | 6      | 190        | 88534.0000  
person   | 7      | 192        | 88476.0000  
person   | 8      | 183        | 88475.0000  
person   | 9      | 184        | 88417.0000  
person   | 10     | 195        | 88379.0000  

car      | 1      | 98         | 101.0000    
car      | 2      | 108        | 100.0000    
car      | 3      | 84         | 97.0000     
car      | 4      | 81         | 96.0000     
car      | 5      | 149        | 91.0000     
car      | 6      | 145        | 90.0000     
car      | 7      | 95         | 90.0000     
car      | 8      | 152        | 88.0000     
car      | 9      | 88         | 86.0000     
car      | 10     | 144        | 85.0000     

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 1          | 3.0000      
microwave oven | 3      | 2          | 3.0000      
microwave oven | 4      | 3          | 3.0000      
microwave oven | 5      | 4          | 2.0000      
microwave oven | 6      | 7          | 2.0000      
microwave oven | 7      | 8          | 1.0000      
microwave oven | 8      | 12         | 1.0000      
microwave oven | 9      | 9          | 1.0000      
microwave oven | 10     | 6          | 1.0000      

giraffe  | 1      | 9          | 23.0000     
giraffe  | 2      | 12         | 19.0000     
giraffe  | 3      | 6          | 15.0000     
giraffe  | 4      | 19         | 15.0000     
giraffe  | 5      | 21         | 13.0000     
giraffe  | 6      | 7          | 12.0000     
giraffe  | 7      | 27         | 12.0000     
giraffe  | 8      | 26         | 12.0000     
giraffe  | 9      | 23         | 12.0000     
giraffe  | 10     | 17         | 11.0000     

person + car | 1      | 199        | 89833.0000  
person + car | 2      | 193        | 89125.0000  
person + car | 3      | 198        | 88935.0000  
person + car | 4      | 197        | 88928.0000  
person + car | 5      | 196        | 88883.0000  
person + car | 6      | 190        | 88596.0000  
person + car | 7      | 183        | 88535.0000  
person + car | 8      | 192        | 88531.0000  
person + car | 9      | 184        | 88479.0000  
person + car | 10     | 195        | 88438.0000  

total    | 1      | 199        | 90353.0000  
total    | 2      | 193        | 89604.0000  
total    | 3      | 198        | 89458.0000  
total    | 4      | 197        | 89413.0000  
total    | 5      | 196        | 89384.0000  
total    | 6      | 190        | 89087.0000  
total    | 7      | 192        | 89036.0000  
total    | 8      | 183        | 89035.0000  
total    | 9      | 184        | 88997.0000  
total    | 10     | 195        | 88943.0000  

==================================================

p: ../results/model_1/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 1          | 250.0000    
person   | 3      | 185        | 210.0000    
person   | 4      | 172        | 209.0000    
person   | 5      | 137        | 208.0000    
person   | 6      | 170        | 208.0000    
person   | 7      | 155        | 207.0000    
person   | 8      | 2          | 205.0000    
person   | 9      | 183        | 205.0000    
person   | 10     | 191        | 204.0000    

car      | 1      | 0          | 40.0000     
car      | 2      | 1          | 24.0000     
car      | 3      | 2          | 19.0000     
car      | 4      | 15         | 18.0000     
car      | 5      | 4          | 17.0000     
car      | 6      | 27         | 17.0000     
car      | 7      | 5          | 15.0000     
car      | 8      | 9          | 14.0000     
car      | 9      | 6          | 14.0000     
car      | 10     | 25         | 14.0000     

microwave oven | 1      | 198        | 55155.0000  
microwave oven | 2      | 199        | 54359.0000  
microwave oven | 3      | 196        | 53716.0000  
microwave oven | 4      | 197        | 53630.0000  
microwave oven | 5      | 194        | 53235.0000  
microwave oven | 6      | 195        | 52890.0000  
microwave oven | 7      | 189        | 52319.0000  
microwave oven | 8      | 192        | 52233.0000  
microwave oven | 9      | 191        | 52018.0000  
microwave oven | 10     | 193        | 51815.0000  

giraffe  | 1      | 1          | 6.0000      
giraffe  | 2      | 0          | 6.0000      
giraffe  | 3      | 3          | 3.0000      
giraffe  | 4      | 2          | 2.0000      
giraffe  | 5      | 143        | 1.0000      
giraffe  | 6      | 162        | 1.0000      
giraffe  | 7      | 39         | 1.0000      
giraffe  | 8      | 191        | 1.0000      
giraffe  | 9      | 132        | 1.0000      
giraffe  | 10     | 138        | 1.0000      

person + car | 1      | 0          | 533.0000    
person + car | 2      | 1          | 274.0000    
person + car | 3      | 2          | 224.0000    
person + car | 4      | 170        | 214.0000    
person + car | 5      | 172        | 213.0000    
person + car | 6      | 185        | 212.0000    
person + car | 7      | 137        | 209.0000    
person + car | 8      | 191        | 209.0000    
person + car | 9      | 183        | 209.0000    
person + car | 10     | 155        | 208.0000    

total    | 1      | 198        | 55695.0000  
total    | 2      | 199        | 54850.0000  
total    | 3      | 196        | 54228.0000  
total    | 4      | 197        | 54097.0000  
total    | 5      | 194        | 53742.0000  
total    | 6      | 195        | 53434.0000  
total    | 7      | 189        | 52850.0000  
total    | 8      | 192        | 52777.0000  
total    | 9      | 191        | 52561.0000  
total    | 10     | 193        | 52337.0000  

==================================================

p: ../results/model_1/teastatic_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 13         | 331.0000    
person   | 3      | 1          | 302.0000    
person   | 4      | 6          | 300.0000    
person   | 5      | 7          | 287.0000    
person   | 6      | 8          | 275.0000    
person   | 7      | 3          | 265.0000    
person   | 8      | 4          | 257.0000    
person   | 9      | 11         | 254.0000    
person   | 10     | 17         | 247.0000    

car      | 1      | 0          | 40.0000     
car      | 2      | 1          | 32.0000     
car      | 3      | 153        | 25.0000     
car      | 4      | 152        | 23.0000     
car      | 5      | 174        | 22.0000     
car      | 6      | 138        | 21.0000     
car      | 7      | 3          | 21.0000     
car      | 8      | 147        | 21.0000     
car      | 9      | 181        | 21.0000     
car      | 10     | 186        | 20.0000     

microwave oven | 1      | 1          | 9.0000      
microwave oven | 2      | 0          | 5.0000      
microwave oven | 3      | 3          | 3.0000      
microwave oven | 4      | 2          | 3.0000      
microwave oven | 5      | 6          | 1.0000      
microwave oven | 6      | 9          | 1.0000      
microwave oven | 7      | 5          | 1.0000      
microwave oven | 8      | 4          | 1.0000      
microwave oven | 9      | 134        | 0.0000      
microwave oven | 10     | 136        | 0.0000      

giraffe  | 1      | 199        | 71087.0000  
giraffe  | 2      | 197        | 70675.0000  
giraffe  | 3      | 196        | 70625.0000  
giraffe  | 4      | 194        | 70586.0000  
giraffe  | 5      | 198        | 70386.0000  
giraffe  | 6      | 195        | 70187.0000  
giraffe  | 7      | 192        | 70145.0000  
giraffe  | 8      | 193        | 70095.0000  
giraffe  | 9      | 190        | 69847.0000  
giraffe  | 10     | 189        | 69606.0000  

person + car | 1      | 0          | 533.0000    
person + car | 2      | 13         | 340.0000    
person + car | 3      | 1          | 334.0000    
person + car | 4      | 6          | 314.0000    
person + car | 5      | 7          | 303.0000    
person + car | 6      | 3          | 286.0000    
person + car | 7      | 8          | 286.0000    
person + car | 8      | 4          | 275.0000    
person + car | 9      | 11         | 267.0000    
person + car | 10     | 9          | 262.0000    

total    | 1      | 199        | 71540.0000  
total    | 2      | 197        | 71117.0000  
total    | 3      | 196        | 71074.0000  
total    | 4      | 194        | 71042.0000  
total    | 5      | 198        | 70856.0000  
total    | 6      | 195        | 70638.0000  
total    | 7      | 192        | 70554.0000  
total    | 8      | 193        | 70525.0000  
total    | 9      | 190        | 70298.0000  
total    | 10     | 189        | 70029.0000  

==================================================

p: ../results/model_1/teastatic_tgt_0
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 195        | 85984.0000  
person   | 2      | 198        | 85924.0000  
person   | 3      | 197        | 85820.0000  
person   | 4      | 199        | 85793.0000  
person   | 5      | 196        | 85754.0000  
person   | 6      | 189        | 85114.0000  
person   | 7      | 190        | 85094.0000  
person   | 8      | 191        | 85081.0000  
person   | 9      | 194        | 85054.0000  
person   | 10     | 193        | 84897.0000  

car      | 1      | 1          | 50.0000     
