p: ../results/model_2/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
giraffe  | 3      | 2          | 8.0000      
giraffe  | 4      | 0          | 6.0000      
giraffe  | 5      | 13         | 5.0000      
giraffe  | 6      | 3          | 4.0000      
giraffe  | 7      | 8          | 4.0000      
giraffe  | 8      | 20         | 3.0000      
giraffe  | 9      | 5          | 2.0000      
giraffe  | 10     | 57         | 1.0000      

person + car | 1      | 4          | 1755.0000   
person + car | 2      | 3          | 1567.0000   
person + car | 3      | 2          | 1546.0000   
person + car | 4      | 6          | 1489.0000   
person + car | 5      | 5          | 1482.0000   
person + car | 6      | 8          | 1382.0000   
person + car | 7      | 7          | 1256.0000   
person + car | 8      | 20         | 1196.0000   
person + car | 9      | 11         | 1187.0000   
person + car | 10     | 9          | 1178.0000   

total    | 1      | 198        | 24091.0000  
total    | 2      | 197        | 24023.0000  
total    | 3      | 194        | 23672.0000  
total    | 4      | 195        | 23555.0000  
total    | 5      | 191        | 23490.0000  
total    | 6      | 184        | 22527.0000  
total    | 7      | 187        | 22391.0000  
total    | 8      | 192        | 22341.0000  
total    | 9      | 193        | 22212.0000  
total    | 10     | 189        | 22150.0000  

==================================================

