p: ../results/model_2/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
person + car | 10     | 151        | 3040.0000   

==================================================

p: ../results/model_0/teastatic_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 154        | 1848.0000   
person   | 2      | 157        | 1823.0000   
person   | 3      | 163        | 1820.0000   
person   | 4      | 159        | 1816.0000   
person   | 5      | 137        | 1815.0000   
person   | 6      | 107        | 1815.0000   
person   | 7      | 138        | 1813.0000   
person   | 8      | 127        | 1812.0000   
person   | 9      | 155        | 1812.0000   
person   | 10     | 161        | 1812.0000   

car      | 1      | 195        | 1987.0000   
car      | 2      | 198        | 1986.0000   
car      | 3      | 189        | 1985.0000   
car      | 4      | 197        | 1979.0000   
car      | 5      | 187        | 1968.0000   
car      | 6      | 193        | 1968.0000   
car      | 7      | 199        | 1949.0000   
car      | 8      | 184        | 1932.0000   
car      | 9      | 191        | 1929.0000   
car      | 10     | 192        | 1928.0000   

microwave oven | 1      | 59         | 29.0000     
microwave oven | 2      | 56         | 19.0000     
microwave oven | 3      | 62         | 17.0000     
microwave oven | 4      | 57         | 13.0000     
microwave oven | 5      | 58         | 13.0000     
microwave oven | 6      | 54         | 13.0000     
microwave oven | 7      | 64         | 12.0000     
microwave oven | 8      | 60         | 12.0000     
microwave oven | 9      | 67         | 12.0000     
microwave oven | 10     | 118        | 12.0000     

giraffe  | 1      | 97         | 41.0000     
giraffe  | 2      | 61         | 41.0000     
giraffe  | 3      | 99         | 40.0000     
giraffe  | 4      | 103        | 40.0000     
giraffe  | 5      | 109        | 39.0000     
giraffe  | 6      | 87         | 39.0000     
giraffe  | 7      | 104        | 38.0000     
giraffe  | 8      | 116        | 38.0000     
giraffe  | 9      | 105        | 38.0000     
giraffe  | 10     | 108        | 38.0000     

person + car | 1      | 195        | 3756.0000   
person + car | 2      | 189        | 3743.0000   
person + car | 3      | 187        | 3737.0000   
person + car | 4      | 184        | 3736.0000   
person + car | 5      | 193        | 3734.0000   
person + car | 6      | 197        | 3728.0000   
person + car | 7      | 198        | 3726.0000   
person + car | 8      | 186        | 3708.0000   
person + car | 9      | 177        | 3707.0000   
person + car | 10     | 191        | 3702.0000   

==================================================

p: ../results/model_1/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 146        | 2040.0000   
person   | 2      | 140        | 2038.0000   
person   | 3      | 144        | 2036.0000   
person   | 4      | 166        | 2032.0000   
person   | 5      | 147        | 2029.0000   
person   | 6      | 139        | 2028.0000   
person   | 7      | 142        | 2024.0000   
person   | 8      | 145        | 2022.0000   
