p: ../results/model_2/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
person   | 1      | 6          | 1019.0000   
person   | 2      | 8          | 1008.0000   
person   | 3      | 4          | 985.0000    
person   | 4      | 22         | 974.0000    
person   | 5      | 5          | 953.0000    
person   | 6      | 40         | 933.0000    
person   | 7      | 11         | 928.0000    
person   | 8      | 10         | 916.0000    
person   | 9      | 9          | 911.0000    
person   | 10     | 25         | 910.0000    

car      | 1      | 12         | 115.0000    
car      | 2      | 22         | 108.0000    
car      | 3      | 177        | 101.0000    
car      | 4      | 156        | 100.0000    
car      | 5      | 55         | 100.0000    
car      | 6      | 123        | 97.0000     
car      | 7      | 88         | 95.0000     
car      | 8      | 23         | 95.0000     
car      | 9      | 141        | 94.0000     
car      | 10     | 73         | 92.0000     

microwave oven | 1      | 93         | 5.0000      
microwave oven | 2      | 59         | 5.0000      
microwave oven | 3      | 51         | 4.0000      
microwave oven | 4      | 27         | 4.0000      
microwave oven | 5      | 96         | 4.0000      
microwave oven | 6      | 19         | 4.0000      
microwave oven | 7      | 42         | 4.0000      
microwave oven | 8      | 87         | 4.0000      
microwave oven | 9      | 0          | 4.0000      
microwave oven | 10     | 3          | 4.0000      

giraffe  | 1      | 64         | 22.0000     
giraffe  | 2      | 44         | 22.0000     
giraffe  | 3      | 84         | 17.0000     
giraffe  | 4      | 43         | 15.0000     
giraffe  | 5      | 34         | 15.0000     
giraffe  | 6      | 42         | 14.0000     
giraffe  | 7      | 73         | 14.0000     
giraffe  | 8      | 31         | 13.0000     
giraffe  | 9      | 111        | 13.0000     
giraffe  | 10     | 30         | 13.0000     

person + car | 1      | 6          | 1087.0000   
person + car | 2      | 22         | 1082.0000   
person + car | 3      | 4          | 1046.0000   
person + car | 4      | 8          | 1045.0000   
person + car | 5      | 40         | 1004.0000   
person + car | 6      | 5          | 1004.0000   
person + car | 7      | 11         | 998.0000    
person + car | 8      | 25         | 994.0000    
person + car | 9      | 9          | 977.0000    
person + car | 10     | 10         | 967.0000    

==================================================

p: ../results/model_0/phantom_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 3          | 574.0000    
person   | 2      | 2          | 548.0000    
person   | 3      | 5          | 512.0000    
person   | 4      | 1          | 501.0000    
person   | 5      | 6          | 501.0000    
person   | 6      | 20         | 501.0000    
person   | 7      | 39         | 500.0000    
person   | 8      | 43         | 497.0000    
person   | 9      | 30         | 497.0000    
person   | 10     | 55         | 496.0000    

car      | 1      | 2          | 50.0000     
car      | 2      | 1          | 45.0000     
car      | 3      | 0          | 41.0000     
